,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,Caruso,0.413,0.142,-15.019,0.0419,0.759,0.142,123.487
1,Ti amo,0.282,0.526,-5.709,0.0337,0.617,0.0591,185.638
2,Tu,0.668,0.677,-9.64,0.0275,0.542,0.361,102.407
3,Con te partirò,0.241,0.367,-7.95,0.0311,0.844,0.0873,135.267
4,Vivo per lei,0.533,0.456,-6.392,0.0265,0.703,0.18,136.117
5,Si può dare di più,0.594,0.533,-10.092,0.0375,0.4,0.0869,114.504
6,Brucia la Terra - Parla Piu Piano - Godfather Theme,0.326,0.489,-7.882,0.0315,0.496,0.0775,140.14
7,SU DI NOI,0.489,0.867,-4.083,0.0341,0.49,0.154,132.103
8,Un Amore Grande,0.579,0.659,-4.516,0.0283,0.67,0.195,94.031
9,"Firenze, Santa Maria Novella",0.666,0.715,-6.98,0.0273,0.794,0.13,131.98
10,In Eternita',0.579,0.786,-4.709,0.0312,0.392,0.139,138.022
11,Forse,0.677,0.806,-4.94,0.031,0.674,0.0894,140.025
12,Lazy Mary (Luna Mezza Mare) (with Joe Reisman & His Orchestra),0.743,0.658,-8.479,0.045,0.266,0.17,121.718
13,Volare (Nel Blu Di Pinto Di Blu) - Remastered,0.612,0.144,-12.204,0.0352,0.88,0.203,128.629
14,L'italiano,0.617,0.519,-11.411,0.0404,0.292,0.411,121.35
15,Sarà perché ti amo,0.837,0.751,-8.245,0.0377,0.119,0.0582,120.196
16,Gloria,0.748,0.923,-3.165,0.057,0.0801,0.423,131.76
17,Felicità,0.71,0.625,-8.587,0.0402,0.489,0.439,107.618
18,Laura non c'è,0.63,0.705,-6.075,0.0306,0.257,0.0384,125.945
19,Il mondo,0.253,0.57,-7.582,0.0319,0.69,0.554,88.184
20,Tarantella Napoletana,0.57,0.871,-9.701,0.621,0.23,0.672,148.901
21,That's Amore,0.471,0.146,-13.6,0.0309,0.782,0.0888,78.554
22,Giulia,0.659,0.776,-8.238,0.0276,0.259,0.0421,135.545
23,Mambo Italiano,0.752,0.33,-13.138,0.228,0.792,0.0574,76.525
24,Abballati,0.741,0.826,-3.017,0.0333,0.491,0.256,141.709
25,Parla piu piano (Thème du Parrain),0.325,0.434,-5.661,0.029,0.927,0.114,136.905
26,My Way,0.279,0.454,-7.733,0.0316,0.395,0.198,150.661
27,"Theme From New York, New York",0.407,0.589,-5.32,0.03,0.547,0.281,109.009
28,Dreams (Will Come Alive),0.701,0.979,-4.861,0.048,0.00328,0.416,134.013
29,Better Off Alone,0.667,0.817,-9.149,0.0592,0.00431,0.288,136.957
30,It's My Life,0.655,0.933,-7.703,0.0536,0.00332,0.0983,128.701
31,What Is Love,0.69,0.805,-5.979,0.0329,0.0196,0.281,123.871
32,Mr. Vain - Original Radio Edit,0.703,0.997,-7.666,0.0399,0.0726,0.123,132.872
33,Rhythm Is A Dancer - 12'' Version,0.767,0.869,-7.323,0.0334,0.111,0.0815,124.254
34,Pump Up The Jam - Edit,0.862,0.918,-7.325,0.108,0.0287,0.0492,124.811
35,Where Do You Go,0.734,0.828,-11.018,0.0318,0.0346,0.071,127.06
36,We like to Party! (The Vengabus),0.785,0.931,-4.813,0.0465,0.0148,0.0459,135.986
37,Beautiful Life,0.749,0.988,-5.266,0.0387,0.202,0.17,135.015
38,Blue (Da Ba Dee) - DJ Ponte Ice Pop Radio,0.822,0.969,-11.471,0.0582,0.259,0.39,128.007
39,Giulia,0.694,0.948,-7.043,0.0325,0.048,0.13,135.896
40,Everytime We Touch,0.631,0.978,-5.336,0.0522,0.00376,0.448,142.036
41,Sarà perché ti amo - Club Edit,0.63,0.993,-6.073,0.0323,0.000868,0.159,137.963
42,Calabria 2008 (feat. Natasja),0.888,0.666,-5.547,0.163,0.0077,0.0555,125.993
43,Papa Americano (dance remix),0.854,0.95,-5.325,0.055,0.0123,0.0766,124.983
44,Barbie Girl,0.81,0.957,-6.049,0.0364,0.0165,0.248,129.985
45,Be My Lover,0.658,0.963,-3.283,0.0326,0.00283,0.951,134.798
46,Sweet Dreams,0.656,0.956,-5.647,0.0536,0.0784,0.0923,133.713
47,I Like to Move It - '93 Radio Edit,0.842,0.691,-11.812,0.066,0.0125,0.132,122.952
48,WAKE UP,0.741,0.645,-5.116,0.0963,0.192,0.163,149.07
49,Swervin (feat. 6ix9ine),0.581,0.662,-5.239,0.303,0.0153,0.111,93.023
50,Live up to My Name,0.943,0.495,-5.964,0.18,0.0575,0.0952,129.971
51,Pop That,0.734,0.892,-1.856,0.125,0.0648,0.58,138.031
52,100 (feat. Drake),0.801,0.521,-9.871,0.28,0.0136,0.179,108.025
53,Amen (feat. Drake),0.503,0.795,-4.505,0.335,0.178,0.042,149.981
54,I'm On One,0.413,0.807,-3.499,0.318,0.0536,0.631,149.33
55,YOSEMITE,0.785,0.554,-6.571,0.0409,0.283,0.116,128.047
56,Best I Ever Had,0.427,0.861,-4.874,0.376,0.219,0.277,161.776
57,Gorgeous,0.582,0.737,-3.477,0.0356,0.0253,0.181,91.914
58,"Never Recover (Lil Baby & Gunna, Drake)",0.753,0.686,-5.415,0.284,0.0677,0.193,132.055
59,Blem,0.726,0.535,-7.804,0.0476,0.0533,0.0984,98.067
60,Ned Flanders (feat. A$AP Ferg),0.936,0.495,-6.062,0.229,0.0254,0.087,139.951
61,Blessings - Extended Version,0.645,0.606,-8.074,0.512,0.292,0.129,118.8
62,Praise The Lord (Da Shine) (feat. Skepta),0.854,0.569,-8.151,0.106,0.0609,0.1,80.015
63,Bali (feat. Nav),0.646,0.503,-7.218,0.0402,0.097,0.13,158.027
64,Priceless (feat. Fb),0.56,0.522,-8.292,0.0608,0.261,0.149,171.873
65,Heartless,0.79,0.647,-5.983,0.136,0.0515,0.248,87.999
66,I Can Transform Ya (feat. Swizz Beatz & Lil' Wayne),0.765,0.974,-2.402,0.103,0.0502,0.143,111.619
67,"Sorry, Blame It On Me",0.709,0.65,-7.371,0.273,0.251,0.0731,176.141
68,I Tried,0.727,0.71,-6.142,0.0742,0.0104,0.107,81.995
69,Locked Up,0.833,0.568,-4.312,0.0847,0.0262,0.11,89.958
70,Codeine Dreaming (feat. Lil Wayne),0.736,0.604,-7.357,0.222,0.0652,0.124,155.007
71,Ric Flair Drip (& Metro Boomin),0.88,0.428,-8.28,0.206,0.149,0.114,100.007
72,Up All Night,0.606,0.811,-4.667,0.278,0.00782,0.349,156.347
73,Drop The World,0.663,0.91,-1.629,0.317,0.0719,0.244,144.993
74,No Love,0.522,0.932,-2.87,0.255,0.119,0.177,129.473
75,No Favors,0.482,0.781,-5.334,0.411,0.629,0.413,57.967
76,East Atlanta Day,0.896,0.532,-5.501,0.247,0.0738,0.0893,150.095
77,Liger,0.757,0.71,-5.283,0.213,0.339,0.189,139.898
78,Slippery (feat. Gucci Mane),0.92,0.674,-5.662,0.264,0.307,0.104,141.967
79,Transportin',0.804,0.66,-4.86,0.0726,0.0319,0.103,94.053
80,Let Me Love You,0.656,0.578,-8.97,0.0922,0.235,0.118,94.514
81,Kiss Kiss (feat. T-Pain),0.729,0.658,-3.386,0.225,0.0506,0.0693,140.043
82,Love Sosa,0.772,0.413,-8.193,0.089,0.0361,0.111,131.965
83,Gyalchester,0.877,0.391,-8.196,0.063,0.0317,0.0945,131.018
84,Forever,0.457,0.906,-2.278,0.342,0.249,0.182,104.02
85,"Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",0.79,0.544,-6.624,0.368,0.643,0.13,146.077
86,"Wanksta - From ""8 Mile"" Soundtrack",0.806,0.867,-3.538,0.157,0.02,0.131,81.033
87,Just A Lil Bit,0.489,0.692,-6.672,0.41,0.0322,0.315,96.946
88,Hate Bein' Sober,0.82,0.47,-7.181,0.0458,0.00435,0.141,132.003
89,Hate It Or Love It,0.802,0.785,-4.781,0.207,0.14,0.123,99.998
90,How We Do,0.862,0.648,-7.401,0.251,0.0455,0.0332,98.012
91,You Don't Know,0.767,0.864,-1.847,0.133,0.0116,0.0957,85.475
92,In Da Club,0.902,0.72,-2.776,0.347,0.26,0.0749,90.059
93,Candy Shop,0.609,0.588,-7.992,0.481,0.0305,0.369,128.763
94,P.I.M.P.,0.7,0.758,-3.012,0.342,0.0444,0.0401,78.693
95,21 Questions,0.576,0.807,-3.908,0.317,0.353,0.0512,90.012
96,Ayo Technology,0.63,0.782,-5.44,0.132,0.0828,0.034,140.144
97,My Way (feat. Monty),0.748,0.741,-3.103,0.0531,0.00419,0.147,128.077
98,goosebumps,0.841,0.728,-3.37,0.0484,0.0847,0.149,130.049
99,FML,0.527,0.415,-7.184,0.131,0.329,0.195,125.357
100,Cut It (feat. Young Dolph),0.875,0.673,-4.184,0.0932,0.135,0.292,130.0
101,I Wanna Love You,0.866,0.454,-9.383,0.0414,0.0373,0.275,99.985
102,Smack That,0.939,0.742,-5.171,0.0467,0.321,0.107,118.978
103,Live Your Life - feat. Rihanna,0.375,0.862,-3.363,0.255,0.071,0.211,159.841
104,The Recipe,0.766,0.779,-6.969,0.114,0.000621,0.343,130.964
105,That's All She Wrote (feat. Eminem),0.496,0.785,-3.472,0.306,0.0328,0.0941,170.02
106,Whatever You Like,0.68,0.687,-6.162,0.0709,0.0161,0.261,150.053
107,Smile For Me,0.818,0.671,-4.971,0.0392,0.299,0.0876,96.993
108,Where Ya At (feat. Drake),0.813,0.453,-6.941,0.338,0.0933,0.14,161.997
109,Replay,0.706,0.751,-6.323,0.0708,0.173,0.168,91.031
110,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",0.642,0.647,-6.312,0.428,0.517,0.0649,120.749
111,Ultralight Beam,0.592,0.403,-8.768,0.414,0.62,0.54,105.169
112,New Slaves,0.506,0.59,-4.322,0.076,0.165,0.096,141.099
113,Bound 2,0.367,0.665,-2.821,0.0465,0.145,0.113,148.913
114,Clique - Album Version (Edited),0.717,0.541,-5.942,0.235,0.0562,0.306,109.448
115,Don't Like.1 - Album Version (Edited),0.499,0.604,-5.443,0.296,0.00708,0.113,132.069
116,Can't Tell Me Nothing,0.596,0.62,-6.133,0.039,0.0122,0.82,80.029
117,6 Foot 7 Foot,0.365,0.751,-5.429,0.304,0.000707,0.318,79.119
118,Sneakin’,0.806,0.558,-6.538,0.172,0.00496,0.16,85.011
119,Pop Style,0.713,0.462,-10.027,0.123,0.192,0.105,133.053
120,Grammys,0.676,0.432,-9.51,0.502,0.00163,0.0799,145.869
121,Still Here,0.834,0.433,-9.607,0.174,0.0258,0.633,133.938
122,Hype,0.787,0.635,-8.271,0.155,0.0253,0.357,130.018
123,Childs Play,0.746,0.475,-11.243,0.113,0.0175,0.197,80.006
124,Big Rings,0.776,0.675,-6.224,0.266,0.00196,0.227,131.984
125,Jumpman,0.852,0.553,-7.286,0.187,0.0559,0.332,142.079
126,Energy,0.747,0.571,-7.916,0.478,0.38,0.534,172.104
127,10 Bands,0.825,0.756,-3.687,0.383,0.265,0.0762,172.938
128,No Tellin',0.823,0.467,-10.394,0.301,0.543,0.135,95.026
129,Star67,0.521,0.392,-7.88,0.17,0.747,0.198,91.939
130,The Language,0.831,0.651,-8.363,0.437,0.0125,0.0809,120.064
131,All Me,0.67,0.515,-6.977,0.397,0.0705,0.25,122.006
132,Headlines,0.636,0.566,-7.16,0.106,0.365,0.0917,151.894
133,0 To 100 / The Catch Up,0.559,0.716,-3.964,0.39,0.737,0.252,176.618
134,Over,0.406,0.86,-5.422,0.153,0.0124,0.15,102.339
135,Going Bad (feat. Drake),0.889,0.496,-6.365,0.0905,0.259,0.252,86.003
136,R.I.C.O. (feat. Drake),0.727,0.599,-6.941,0.327,0.317,0.219,167.909
137,House Party - Remix,0.581,0.652,-10.917,0.295,0.0617,0.524,161.201
138,Racked Up Shawty,0.526,0.569,-10.626,0.281,0.0658,0.122,140.007
139,I Get It,0.72,0.714,-9.413,0.276,0.0272,0.09,147.968
140,I'm on One - Remix,0.455,0.786,-5.152,0.296,0.00986,0.304,150.368
141,Still D.R.E.,0.816,0.775,-3.323,0.234,0.16,0.0543,93.431
142,Forgot About Dre,0.926,0.733,-1.294,0.0647,0.101,0.179,133.966
143,"Bitch, Don’t Kill My Vibe",0.587,0.698,-8.948,0.0943,0.0152,0.442,133.954
144,m.A.A.d city,0.487,0.729,-6.815,0.271,0.0538,0.44,91.048
145,Swimming Pools (Drank) - Extended Version,0.716,0.485,-7.745,0.404,0.123,0.604,74.132
146,"Bitch, Don’t Kill My Vibe - Remix",0.631,0.791,-5.776,0.227,0.0545,0.226,133.672
147,California Love - Original Version,0.761,0.847,-3.068,0.0417,0.0292,0.39,91.519
148,No Frauds,0.865,0.553,-7.012,0.276,0.0788,0.514,139.023
149,2 Of Amerikaz Most Wanted,0.71,0.905,-2.578,0.324,0.0391,0.0562,198.5
150,Narcos,0.936,0.585,-6.914,0.125,0.0142,0.132,124.991
151,Cashin' Out,0.831,0.665,-3.627,0.0711,0.149,0.0636,129.989
152,"That's On Me (Remix) (feat. 2 Chainz, T.I., Rich The Kid, Jeezy, Boosie Badazz & Trapboy Freddy)",0.827,0.623,-6.199,0.35,0.0193,0.0589,131.904
153,KIKA,0.745,0.715,-3.368,0.245,0.128,0.182,94.513
154,Low Life (feat. The Weeknd),0.722,0.331,-7.789,0.0725,0.337,0.146,143.974
155,MAMA,0.761,0.672,-5.887,0.212,0.0893,0.14,160.077
156,Bacc At It Again,0.948,0.623,-5.725,0.168,0.00124,0.0716,135.979
157,Murder On My Mind,0.759,0.73,-7.985,0.0516,0.145,0.11,115.007
158,Money In The Grave (Drake ft. Rick Ross),0.831,0.502,-4.045,0.046,0.101,0.122,100.541
159,Stay Schemin,0.541,0.734,-4.232,0.166,0.0621,0.12,162.304
160,Tap (feat. Meek Mill),0.901,0.676,-7.033,0.251,0.0646,0.0863,85.018
161,Walk It Talk It,0.907,0.633,-5.145,0.184,0.0876,0.106,145.914
162,BBO (Bad Bitches Only),0.808,0.771,-5.719,0.0645,0.0413,0.18,161.94
163,MotorSport,0.904,0.518,-5.32,0.183,0.0305,0.325,137.996
164,One Night,0.764,0.475,-12.618,0.114,0.345,0.14,129.974
165,Goldie,0.697,0.849,-4.953,0.248,0.228,0.493,81.956
166,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.853,0.693,-6.87,0.275,0.0239,0.11,95.967
167,Lord Pretty Flacko Jodye 2 (LPFJ2),0.485,0.72,-5.991,0.127,0.0123,0.0546,207.982
168,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",0.489,0.878,-3.36,0.368,0.351,0.698,81.497
169,X (with 2 Chainz & Saudi),0.768,0.471,-8.406,0.259,0.0201,0.268,131.023
170,Dangerous (feat. Kid Cudi),0.414,0.544,-9.455,0.102,0.636,0.0813,171.867
171,Collard Greens,0.825,0.575,-4.87,0.0633,0.025,0.205,153.954
172,Man Of The Year,0.749,0.865,-5.228,0.0413,0.00536,0.198,111.914
173,Plain Jane REMIX (feat. Nicki Minaj),0.791,0.839,-4.284,0.266,0.0588,0.259,170.113
174,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",0.841,0.733,-5.077,0.142,0.0246,0.174,130.009
175,U.O.E.N.O.,0.431,0.668,-4.369,0.351,0.503,0.798,188.042
176,Trophies,0.746,0.687,-7.475,0.382,0.155,0.137,143.931
177,No Role Modelz,0.692,0.521,-8.465,0.33,0.301,0.0565,100.45
178,Martians Vs Goblins,0.476,0.81,-3.414,0.265,0.0803,0.568,83.309
179,Umbrella,0.583,0.829,-4.603,0.134,0.00864,0.0426,174.028
180,The Devil Is A Lie,0.68,0.83,-3.922,0.0897,0.00169,0.382,102.91
181,Fast Lane,0.615,0.871,-3.804,0.281,0.0388,0.246,119.149
182,Lucky You (feat. Joyner Lucas),0.876,0.786,-4.884,0.306,0.0627,0.127,153.068
183,Isis,0.918,0.837,-6.792,0.255,0.234,0.227,120.017
184,Tunnel Vision,0.497,0.489,-7.724,0.294,0.0576,0.122,171.853
185,There He Go,0.794,0.608,-6.822,0.0437,0.115,0.11,138.042
186,Back To Back,0.893,0.48,-3.728,0.356,0.00855,0.116,86.976
187,Controlla,0.59,0.468,-11.083,0.185,0.0789,0.101,92.287
188,Kush - Main,0.444,0.866,-6.217,0.111,0.000622,0.105,94.968
189,The Next Episode,0.923,0.912,-2.399,0.266,0.0308,0.111,95.305
190,What's The Difference,0.772,0.821,-0.14,0.25,0.223,0.148,91.921
191,Whatchu Want (feat. Jay-Z & The Notorious B.I.G.),0.59,0.705,-7.103,0.378,0.0577,0.0571,120.605
192,Nas Is Like,0.634,0.845,-5.058,0.352,0.00602,0.0598,94.0
193,Don't Talk,0.539,0.47,-14.296,0.45,0.0346,0.365,93.039
194,Wanna Know Remix (feat. Drake),0.717,0.507,-8.595,0.0445,0.0741,0.241,100.017
195,Guala,0.86,0.576,-9.071,0.266,0.387,0.0803,126.057
196,Real Muthaphuckkin' G's,0.724,0.853,-3.895,0.283,0.0164,0.65,170.51
197,Where Is The Love?,0.834,0.696,-3.224,0.197,0.11,0.13,94.09
198,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",0.665,0.878,-4.745,0.206,0.00325,0.0663,93.047
199,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",0.883,0.525,-8.054,0.0633,0.189,0.0971,99.978
200,Been Poppin (feat. French X Archee X Cp),0.463,0.622,-5.884,0.287,0.419,0.0754,72.415
201,On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),0.857,0.676,-5.359,0.192,0.218,0.0592,103.998
202,Griselda Blanco (feat. TwoTwo),0.89,0.514,-8.146,0.396,0.105,0.122,131.947
203,Smack That (Remix),0.771,0.569,-4.621,0.229,0.0265,0.216,59.494
204,What's My Name?,0.69,0.786,-2.959,0.0692,0.229,0.0797,100.049
205,Shake Down,0.728,0.823,-4.64,0.23,0.256,0.655,82.083
206,Famous,0.465,0.735,-3.715,0.117,0.0711,0.0975,173.935
207,No Stylist (feat. Drake),0.765,0.704,-4.589,0.127,0.0215,0.227,147.055
208,Diamond Test (feat. Pressa),0.755,0.595,-4.912,0.124,0.0401,0.117,141.999
209,Take Me Back to London (feat. Stormzy),0.885,0.762,-5.513,0.216,0.219,0.162,138.058
210,Kyrie,0.714,0.63,-5.69,0.0653,0.332,0.11,156.112
211,Ice (feat. Gunna & Lil Baby),0.861,0.52,-5.498,0.472,0.193,0.109,153.899
212,Backwards (feat. Meek Mill),0.95,0.508,-5.176,0.0921,0.0092,0.0946,122.963
213,Know Me,0.925,0.591,-5.663,0.157,0.0193,0.108,142.047
214,Best Friend,0.75,0.906,-5.028,0.0477,0.0174,0.0551,135.96
215,Crazy In Love (feat. Jay-Z),0.646,0.77,-6.596,0.226,0.00249,0.0715,99.165
216,Lonely,0.802,0.582,-7.296,0.235,0.126,0.161,150.002
217,Rover 2.0 (feat. 21 Savage),0.897,0.867,-3.293,0.289,0.224,0.117,140.092
218,Roll In Peace (feat. XXXTENTACION),0.747,0.524,-6.807,0.245,0.0306,0.2,140.053
219,Jettski Grizzley (feat. Lil Pump),0.875,0.878,-5.358,0.179,0.0966,0.333,100.042
220,Light (feat. Lil Yachty),0.686,0.657,-6.383,0.188,0.0192,0.129,146.066
221,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),0.779,0.705,-6.383,0.051,0.237,0.0899,122.996
222,From The D To The A (feat. Lil Yachty),0.851,0.625,-5.417,0.303,0.195,0.266,99.061
223,Ballin' (with Roddy Ricch),0.809,0.545,-6.678,0.0735,0.392,0.151,97.008
224,Ride Out,0.696,0.801,-5.641,0.0952,0.0469,0.502,93.003
225,BedRock,0.733,0.664,-6.163,0.295,0.102,0.191,148.005
226,No Lie,0.742,0.882,-2.862,0.117,0.0466,0.206,102.04
227,Ice Tray,0.89,0.504,-5.444,0.123,0.023,0.123,129.969
228,Examples,0.815,0.652,-5.498,0.169,0.327,0.207,150.07
229,Scholarships,0.739,0.416,-9.319,0.285,0.0966,0.1,109.168
230,Summer Sixteen,0.594,0.46,-7.607,0.382,0.00354,0.147,146.274
231,Get Right Witcha,0.95,0.743,-5.861,0.238,0.0646,0.103,136.98
232,Knock You Down,0.588,0.877,-4.78,0.16,0.00952,0.171,155.165
233,Switch,0.665,0.653,-6.158,0.0393,0.042,0.11,176.688
234,Cake,0.775,0.539,-4.303,0.0881,0.372,0.225,144.966
235,5 Am in Toronto,0.555,0.88,-4.325,0.265,0.0678,0.0723,87.195
236,The Motion,0.631,0.788,-7.142,0.102,0.371,0.108,157.769
237,The Language,0.823,0.662,-8.426,0.318,0.0118,0.0805,120.117
238,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.661,0.723,-6.976,0.0566,0.179,0.14,113.778
239,Ali Bomaye,0.381,0.69,-5.312,0.455,0.0209,0.438,78.239
240,Let's Ride,0.878,0.739,-5.157,0.189,0.169,0.119,93.601
241,West Side,0.774,0.65,-6.4,0.25,0.126,0.122,84.389
242,Fancy,0.53,0.884,-5.581,0.457,0.332,0.355,87.194
243,Ride Out,0.696,0.801,-5.641,0.0952,0.0469,0.502,93.003
244,If I Can't,0.892,0.631,-2.522,0.302,0.244,0.0235,93.975
245,Soundtrack 2 My Life,0.464,0.754,-6.653,0.128,0.465,0.37,86.501
246,Boy Back (feat. NAV),0.777,0.573,-8.848,0.191,0.0415,0.365,143.017
247,I'm Shipping Up To Boston,0.452,0.928,-3.133,0.079,0.000706,0.226,129.188
248,Money Otw,0.818,0.381,-8.577,0.555,0.578,0.104,150.166
249,No Lie,0.634,0.665,-5.984,0.176,0.0172,0.365,131.108
250,Trap House,0.782,0.581,-7.179,0.21,0.00538,0.0832,121.966
251,"Wass Gang (feat. Robin Banks, Gd & Fb)",0.777,0.503,-6.775,0.222,0.169,0.125,137.988
252,My Team,0.524,0.654,-5.687,0.336,0.137,0.0704,98.579
253,Count It Up,0.738,0.494,-9.571,0.576,0.626,0.111,176.452
254,Canada Goose,0.846,0.627,-8.463,0.284,0.121,0.378,84.015
255,RiRi,0.632,0.519,-9.71,0.409,0.183,0.0986,182.156
256,Snow,0.824,0.758,-6.167,0.323,0.00396,0.0787,158.057
257,It's Okay (feat. Lb),0.808,0.76,-4.327,0.274,0.194,0.113,130.006
258,Fountain,0.861,0.575,-7.547,0.168,0.0265,0.0853,140.055
259,Bros (feat. Bally),0.811,0.667,-9.144,0.0552,0.286,0.097,129.99
260,Money,0.761,0.495,-9.825,0.0603,0.087,0.167,133.081
261,Hall of Fame,0.635,0.65,-5.83,0.0713,0.171,0.185,145.071
262,Forget About Me,0.817,0.591,-7.626,0.182,0.208,0.101,114.968
263,Won't Sleep,0.461,0.722,-10.032,0.337,0.0501,0.232,86.794
264,Propa,0.752,0.615,-6.537,0.407,0.15,0.219,169.958
265,Fountain Freestyle,0.861,0.574,-7.547,0.167,0.0271,0.0853,140.057
266,Auntie,0.871,0.59,-8.18,0.369,0.0492,0.0852,146.012
267,DeRozen,0.806,0.762,-7.733,0.261,0.298,0.0867,130.035
268,No Favours,0.85,0.645,-5.441,0.133,0.16,0.0842,130.085
269,Expensive,0.804,0.697,-5.431,0.0443,0.48,0.279,140.007
270,Front Gate (feat. Giggs),0.827,0.736,-6.321,0.318,0.316,0.186,86.006
271,Big Timer (feat. Safe),0.864,0.621,-7.132,0.127,0.29,0.119,99.958
272,Letter To My Akhs,0.764,0.778,-5.868,0.292,0.672,0.197,95.984
273,Dead,0.864,0.683,-6.773,0.506,0.269,0.0961,129.055
274,Kenzo,0.675,0.616,-7.9,0.0602,0.42,0.104,149.955
275,Valet,0.846,0.591,-9.104,0.359,0.106,0.141,86.01
276,Ride or Die,0.851,0.659,-4.764,0.179,0.0198,0.13,86.464
277,Lamborghini,0.824,0.573,-5.65,0.0694,0.361,0.338,124.071
278,Happy Days,0.77,0.815,-5.496,0.0566,0.0896,0.0822,118.032
279,Habibi,0.649,0.711,-6.924,0.103,0.145,0.0972,111.745
280,Tristi,0.846,0.712,-6.208,0.179,0.222,0.118,131.024
281,Cara Italia,0.78,0.709,-7.059,0.0836,0.538,0.112,111.038
282,I Love You,0.532,0.634,-6.981,0.0559,0.119,0.33,103.51
283,Turbococco,0.727,0.871,-3.944,0.061,0.135,0.0492,94.992
284,Mademoiselle,0.794,0.702,-5.656,0.0346,0.0671,0.155,121.938
285,Pablo,0.813,0.663,-7.84,0.043,0.0711,0.147,140.024
286,Cupido (feat. Quavo),0.803,0.695,-5.164,0.0413,0.0622,0.105,119.978
287,Ricchi x Sempre,0.599,0.734,-7.568,0.413,0.196,0.187,211.842
288,Uber (feat. Miami Yacine),0.845,0.621,-3.559,0.0414,0.158,0.252,120.039
289,Tesla (feat. Sfera Ebbasta & DrefGold),0.854,0.626,-5.14,0.0618,0.316,0.0961,140.05
290,Pablo (with Sfera Ebbasta & Rich The Kid feat. Moneybagg Yo & Lil Baby) - Remix,0.79,0.677,-5.522,0.0494,0.0775,0.128,140.077
291,Cambiare Adesso,0.666,0.777,-3.143,0.0587,0.279,0.197,79.999
292,Sciroppo (feat. DrefGold),0.777,0.721,-6.097,0.0719,0.0774,0.0801,161.976
293,Tran Tran,0.774,0.637,-5.523,0.0332,0.137,0.0694,126.058
294,2% (feat. Frah Quintale),0.754,0.602,-6.785,0.428,0.237,0.151,82.043
295,Malibu,0.809,0.544,-7.319,0.227,0.0753,0.0836,125.876
296,Trap Phone (feat. Capo Plaza),0.749,0.664,-5.414,0.0591,0.11,0.296,118.032
297,So cosa fare,0.766,0.635,-5.489,0.146,0.115,0.0781,146.068
298,Perdere l'amore,0.394,0.533,-9.648,0.0393,0.474,0.19,134.955
299,Una spina e una rosa,0.743,0.522,-13.316,0.0492,0.194,0.077,202.954
300,L'Emozione Non Ha voce (Io Non So Parlar Dámore) - Remastered,0.576,0.457,-6.76,0.0434,0.466,0.268,133.821
301,Il Ragazzo Della Via Gluck - Remastered,0.505,0.442,-8.022,0.0327,0.22,0.107,109.29
302,Su Di Noi,0.45,0.737,-11.685,0.156,0.593,0.663,128.92
303,Dior (with Gunna) - Remix,0.73,0.816,-5.402,0.304,0.177,0.415,142.054
304,Wolves (with NAV),0.836,0.627,-4.377,0.197,0.143,0.0657,142.99
305,Turks (feat. Travis Scott),0.893,0.618,-4.425,0.112,0.0827,0.542,119.099
306,Forever,0.805,0.776,-6.006,0.139,0.000159,0.0502,146.997
307,Disco Inferno,0.925,0.659,-4.763,0.231,0.206,0.279,97.018
308,No Long Talk,0.913,0.608,-6.839,0.234,0.0671,0.533,97.063
309,6 God,0.868,0.623,-8.595,0.101,0.0249,0.125,105.446
310,Don't Like.1,0.668,0.628,-5.327,0.205,0.00822,0.145,131.88
311,Floating (feat. 21 Savage),0.906,0.545,-4.977,0.344,0.181,0.091,139.932
312,CHopstix (with Travis Scott),0.958,0.6,-6.996,0.118,0.0391,0.274,127.933
